wavelength "surface brightness"
5.24282 50.918551188790325
5.2738 53.081826767577795
5.30479 55.46148169840347
5.33577 58.09967328796454
5.36676 61.0564848089533
5.39774 64.40989218168549
5.42873 68.27438185928435
5.45971 72.80953977984558
5.4907 78.25821196685347
5.52169 84.97999476477716
5.55267 93.51112738322935
5.58366 104.60829242641009
5.61464 119.04485998821139
5.64563 136.6357988361071
5.67661 153.76266055990587
5.7076 163.11405230139934
5.73858 162.23521898987335
5.76957 157.77124645745627
5.80055 156.1222049791394
5.83154 159.38313273239928
5.86252 167.71312820640387
5.89351 181.19130096492663
5.9245 200.428126669048
5.95548 226.81701168840308
5.98647 262.87578838199875
6.01745 312.7327972117981
6.04844 383.18001330763025
6.07942 484.9373314238806
6.11041 633.9238764207207
6.14139 846.9242518047646
6.17238 1116.0420825074043
6.20336 1344.4760955662769
6.23435 1360.9293504546995
6.26533 1156.049146288827
6.29632 898.8871989716818
6.3273 695.0841067140901
6.35829 556.7785723448983
6.38928 467.85701633107413
6.42026 412.30817735021037
6.45125 379.0987000211983
6.48223 361.27625311567664
6.51322 354.3529319833355
6.5442 355.2300189232921
6.57519 361.42164221739677
6.60617 370.59571083049025
6.63716 380.424574935193
6.66814 388.74636808894184
6.69913 394.0436964834907
6.73011 395.86609473906304
6.7611 394.91253356222455
6.79209 392.63446515362693
6.82307 390.65853151421027
6.85406 390.34655852253553
6.88504 392.6340418449859
6.91603 398.06733890237376
6.94701 406.9141647945625
6.978 419.2956120351384
7.00898 435.2506092474413
7.03997 454.8239906611685
7.07095 478.05872278982025
7.10194 505.067694715894
7.13292 535.9912291802985
7.16391 571.0886450357611
7.1949 610.703956023177
7.22588 655.3390112316966
7.25687 705.7767585308624
7.28785 763.0760098244599
7.31884 828.8268391070468
7.34982 905.1231359712231
7.38081 994.7899619392721
7.41179 1101.0069465526758
7.44278 1226.8032519629705
7.47376 1372.8951564875135
7.50475 1534.3750536056639
7.53371 1685.4971079700222
7.53573 1695.4935506566696
7.56672 1828.1797880278846
7.5958 1898.281627543763
7.5977 1900.5604157603257
7.65789 1837.1382628404517
7.71999 1648.6733904578252
7.78208 1504.6396248779301
7.84418 1384.668128022122
7.90627 1220.732429202639
7.96836 1030.027382984574
8.03046 869.8412604835011
8.09255 767.3102730284909
8.15465 723.4797009751162
8.21674 728.8128566436012
8.27884 760.9732216798857
8.34093 785.8240881192612
8.40302 794.9576087179897
8.46512 825.9153752190457
8.52721 903.9498451741513
8.58931 965.0975049435514
8.6514 887.9565968825066
8.7135 701.1290406548009
8.77559 523.1426391558464
8.83768 394.9597862222514
8.89978 308.4333904510483
8.96187 249.44365532162058
9.02397 207.92517821377876
9.08606 177.70068074232583
9.14816 155.00511508076255
9.21025 137.52291103197675
9.27234 123.76890061030777
9.33444 112.76700149469262
9.39653 103.860505056097
9.45863 96.58762123423202
9.52072 90.6250768768876
9.58282 85.73615376922398
9.64491 81.75163995393181
9.707 78.54644271358725
9.7691 76.03115551454471
9.83119 74.14535566963559
9.89329 72.85052095360163
9.95538 72.1301798525574
10.0175 71.9879315710941
10.0796 72.45025806388175
10.1417 73.57021154025156
10.2038 75.43682039634861
10.2659 78.19162903504836
10.3279 82.05380551879469
10.39 87.41383112545431
10.4521 94.94753729573057
10.5142 105.98466349815318
10.5763 123.06268047801139
10.6384 147.73873612737887
10.7005 166.487454804933
10.7626 174.2583998950822
10.8247 192.32080240676646
10.8868 227.59386819046694
10.9489 286.1249867764301
11.011 384.15749097939306
11.0731 563.9636280505479
11.1352 951.9009513800952
11.1973 1843.4387459158465
11.2594 2068.0176164366744
11.3215 1413.896005642567
11.3835 1063.6043378173085
11.4456 795.4444999294893
11.5077 597.7017809317567
11.5698 471.29181148294794
11.6319 398.8993728126654
11.694 364.45961393491234
11.7561 357.48456729860186
11.8182 370.5198477130279
11.8803 394.91565399991975
11.9424 417.573920368337
12.0045 424.3111626777072
12.0666 410.9693147121502
12.1287 387.5612700754907
12.1908 368.3473671227885
12.2529 363.0512189573379
12.315 376.51662758145994
12.3771 411.0063374844951
12.4391 466.37945633334635
12.5012 537.9107625515262
12.5633 614.5481424428783
12.6254 691.4273678865978
12.6875 731.370217670511
12.7496 596.1599677945328
12.8117 453.7240471350611
12.8738 359.09351684331847
12.9359 295.0210678552524
12.998 251.5888124375649
13.0601 223.37213601934263
13.1222 207.1973443561206
13.1843 201.2699156999427
13.2464 204.45988761224007
13.3085 215.18995692052934
13.3706 229.6096444528188
13.4327 240.10216376632147
13.4948 237.81101186904644
13.5568 220.0266202281388
13.6189 192.72831274297164
13.681 164.3322601781785
13.7431 139.9189812860441
13.8052 121.10358494511433
13.8673 107.89758632731265
13.9294 100.06126470519762
13.9915 97.68616113015499
14.0536 100.98435395420243
14.1157 108.23974624125886
14.1778 111.80599058472576
14.2399 102.89588214073875
14.302 85.71397888561009
14.3641 69.48546509022513
14.4262 57.29122795068006
14.4883 48.5715150987534
14.5504 42.240937239306085
14.6124 37.49535829447865
14.6745 33.800171026829304
14.7366 30.83808800347363
