|       WAVELENGTH|                  FLUX|     FLUX_UNCERTAINTY|ORDER|
|           double|                double|               double| long|
|               um|              MJy / sr|             MJy / sr|     |
|             null|                  null|                 null| null|
 5.200002157600354   0.001440156877866858 1.522042134536381e-05     4 
 5.200982088306509   0.001406446555027245  1.48067016048105e-05     4 
 5.201962019012664   0.001147712256100864 1.617073467355379e-05     4 
 5.202941949718819   0.001353287000563032 1.574442305861398e-05     4 
 5.203921880424975   0.001506963606991265 1.551987493872638e-05     4 
 5.204901811131131   0.001448615640016076 1.560429133693289e-05     4 
 5.205881741837286   0.001486310429457909 1.571081840719074e-05     4 
 5.206861672543441   0.001381867402326165 1.507449834031203e-05     4 
 5.207841603249596   0.001307336970513073 1.539306101067923e-05     4 
 5.208821533955752   0.001427177288923147  1.56796241238431e-05     4 
 5.209801464661907   0.001640211662409303 1.689154917800532e-05     4 
 5.210781395368063   0.001738495077967315 1.616979151395554e-05     4 
 5.211761326074218   0.001738957574490683 1.599896828745666e-05     4 
 5.212741256780373   0.001774855409877525 1.615743045394373e-05     4 
 5.213721187486529   0.001996851129767604 1.638016473343839e-05     4 
 5.214701118192684   0.002020876730388576 1.659260004808181e-05     4 
  5.21568104889884   0.002000230014660387 1.596306054662847e-05     4 
 5.216660979604995    0.00196055765234715  1.56658684355454e-05     4 
  5.21764091031115   0.002066961339810898 1.527125148412887e-05     4 
 5.218620841017305   0.002344226802748239 1.616569678731961e-05     4 
 5.219600771723461   0.002487089015308606 1.657283524154843e-05     4 
 5.220580702429617   0.002449995111092364   1.6980589044409e-05     4 
 5.221560633135772    0.00244827170546447 1.679295981564935e-05     4 
 5.222540563841927   0.002575276893571077 1.720975820213937e-05     4 
 5.223520494548082   0.002559566799067737 1.656039309056634e-05     4 
 5.224500425254238    0.00237728726323863 1.644900148293143e-05     4 
 5.225480355960393   0.002621000568761038 1.527129769155082e-05     4 
 5.226460286666549   0.002549599888091785 1.665480749937874e-05     4 
 5.227440217372704   0.002793142177016637 1.720159147953649e-05     4 
 5.228420148078859   0.002756979258554398 1.748472394079626e-05     4 
 5.229400078785015   0.002952068517153844 1.731657922389039e-05     4 
  5.23038000949117   0.002824122987605986 1.734893482441195e-05     4 
 5.231359940197326   0.002678225717948574 1.634965374278339e-05     4 
 5.232339870903481   0.002734136597744275 1.714555874072357e-05     4 
 5.233319801609636   0.002763673584461461 1.766238158440049e-05     4 
 5.234299732315792   0.002635943439835512 1.588420067078539e-05     4 
 5.235279663021947   0.002726736125967905 1.601223497735855e-05     4 
 5.236259593728103   0.002844128132812145 1.722107662911999e-05     4 
 5.237239524434258   0.002858021928596174 1.779691557045323e-05     4 
 5.238219455140413   0.002688031075933213 1.814773166316969e-05     4 
 5.239199385846568   0.002560728548783715 1.738301191169005e-05     4 
 5.240179316552724   0.002405294824633937 1.571335396722271e-05     4 
  5.24115924725888   0.002384472603328372 1.551327173532325e-05     4 
 5.242139177965035   0.002365259065083728 1.584736493165252e-05     4 
  5.24311910867119   0.002451104657168361 1.628027420535639e-05     4 
 5.244099039377345   0.002498577980654318  1.79443664852667e-05     4 
 5.245078970083501   0.002420816052505411 1.764951861625551e-05     4 
 5.246058900789656   0.002435150359420915 1.734765778962886e-05     4 
 5.247038831495812   0.002371737073284823  1.54115850235983e-05     4 
 5.248018762201967   0.002485665294068919 1.580277651487449e-05     4 
 5.248998692908122   0.002425096559684838 1.587321288821356e-05     4 
 5.249978623614278   0.002499241420842854  1.66721254089064e-05     4 
 5.250958554320433   0.002457616317045013 1.829212825993222e-05     4 
 5.251938485026589   0.002276455845524849 1.679694718156713e-05     4 
 5.252918415732744   0.002375843969456741 1.624231505243557e-05     4 
 5.253898346438899   0.002232056540761991 1.669719739338949e-05     4 
 5.254878277145054   0.002323246558487401 1.677311624832916e-05     4 
  5.25585820785121   0.002145082426484028 1.735390542363453e-05     4 
 5.256838138557366   0.001986884436631539 1.670467655848788e-05     4 
 5.257818069263521   0.001985444202122776 1.589990637542178e-05     4 
 5.258797999969676   0.001974344298181333 1.621417913244195e-05     4 
 5.259777930675831   0.002144263813855583 1.717575478336258e-05     4 
 5.260757861381987    0.00215662810378461 1.670447951323547e-05     4 
 5.261737792088142   0.002180289124266876 1.776097399380095e-05     4 
 5.262717722794298   0.002018228791318416 1.773190268712566e-05     4 
 5.263697653500453   0.001961181465766564 1.744117465080793e-05     4 
 5.264677584206608   0.001963766549099574 1.573211089700748e-05     4 
 5.265657514912764   0.001937776126228345  1.60528055128608e-05     4 
 5.266637445618919   0.001985344263750474 1.620680462562565e-05     4 
 5.267617376325075   0.001952469660123233 1.594405178653113e-05     4 
  5.26859730703123   0.002213999737334968 1.727565129546425e-05     4 
 5.269577237737385   0.002209731443100671 1.731726536975451e-05     4 
  5.27055716844354   0.002046872359833375 1.812052389482195e-05     4 
 5.271537099149696   0.002083464353284458 1.703478728028906e-05     4 
 5.272517029855852   0.001848072924604149 1.626626481379376e-05     4 
 5.273496960562007   0.001788194230839629 1.570708611223359e-05     4 
 5.274476891268162   0.001908546312113634 1.588996377533537e-05     4 
 5.275456821974317   0.001956606453436792 1.647900949729738e-05     4 
 5.276436752680473   0.002043478041958612 1.669873854479971e-05     4 
 5.277416683386628   0.002091325549724146 1.751646369101746e-05     4 
 5.278396614092784   0.002227128531530159 1.703236145927054e-05     4 
 5.279376544798939   0.002042968177197785 1.714266560135221e-05     4 
 5.280356475505094   0.001971295494524305 1.607871734570076e-05     4 
  5.28133640621125    0.00194293845281443 1.558624572943561e-05     4 
 5.282316336917405   0.002086156525552595 1.650874436058968e-05     4 
 5.283296267623561   0.001734881901984707 1.617588328295938e-05     4 
 5.284276198329716   0.001783364619959907 1.772841209947925e-05     4 
 5.285256129035871   0.001907944505317916 1.607859743503778e-05     4 
 5.286236059742027   0.001940584696290511 1.557763210122943e-05     4 
 5.287215990448182   0.001875960701747992 1.576836615196011e-05     4 
 5.288195921154338   0.001939410039362808 1.668719546722009e-05     4 
 5.289175851860493   0.001701461147190854 1.687380077369859e-05     4 
 5.290155782566648   0.001671333444047202 1.725928909953205e-05     4 
 5.291135713272803   0.001747769991461366 1.590793191322809e-05     4 
 5.292115643978959   0.001965216437548562 1.572998720626484e-05     4 
 5.293095574685114   0.001852837817500737 1.542533710326971e-05     4 
  5.29407550539127   0.001827983060221874 1.598759323338011e-05     4 
 5.295055436097425   0.001814783903499578 1.764286534520778e-05     4 
  5.29603536680358   0.001650295171945287 1.683576266481405e-05     4 
 5.297015297509736   0.001448549114378483  1.71939651076445e-05     4 
 5.297995228215891   0.001473250711520601 1.508760761039096e-05     4 
 5.298975158922047   0.001553338920654731 1.576825626612824e-05     4 
 5.299955089628201   0.001696737107937538   1.6344341686683e-05     4 
 5.300935020334357   0.001712850116897615 1.648933988904024e-05     4 
 5.301914951040513   0.001970317506191234 1.696912924209955e-05     4 
 5.302894881746668   0.001662809049763267 1.556860516880856e-05     4 
 5.303874812452824   0.001808334784438267 1.542042025216026e-05     4 
 5.304854743158979   0.001685021927732603 1.654488884548129e-05     4 
 5.305834673865134   0.001785890733114877 1.630689556411376e-05     4 
 5.306814604571289   0.001494525741588873 1.539423713812778e-05     4 
 5.307794535277445   0.001452443641838893 1.500510840963126e-05     4 
 5.308774465983601   0.001642874922003571 1.638582965338416e-05     4 
 5.309754396689756   0.001652913507167777 1.745658977498122e-05     4 
 5.310734327395911   0.001756785071215995 1.586697418201358e-05     4 
 5.311714258102066   0.001963924680156374 0.0002738027194661239     4 
 5.312694188808222   0.002057700178845236 0.0002714808999565711     4 
 5.313674119514377   0.001554428678540342 0.0002324417900806739     4 
 5.314654050220533   0.001448350741702976 0.0001622203407502221     4 
 5.315633980926687   0.001430866109803143 1.640373030743025e-05     4 
 5.316613911632843   0.001355309268420547 1.446275686699566e-05     4 
 5.317593842338999   0.001552165608645147 1.481882429124412e-05     4 
 5.318573773045154   0.001628492733325569 1.585905295837826e-05     4 
  5.31955370375131     0.0015157832534662 1.598252092665692e-05     4 
 5.320533634457465   0.001673834339329422 1.663408192233771e-05     4 
  5.32151356516362   0.001413091959693274 1.585329946538093e-05     4 
 5.322493495869775   0.001354967235486821 1.568827465945889e-05     4 
 5.323473426575931   0.001315057744724161  1.46140667464179e-05     4 
 5.324453357282087    0.00151373911292318 1.502597135932284e-05     4 
 5.325433287988242   0.001509906070625847 1.513209705300348e-05     4 
 5.326413218694397   0.001392239125876647 1.508373242717131e-05     4 
 5.327393149400552   0.001468080520354912 1.568092760390601e-05     4 
 5.328373080106708   0.001475957491408013 1.664790342985031e-05     4 
 5.329353010812863   0.001475287743162907  1.67740608133382e-05     4 
 5.330332941519019   0.001452691975705591 1.630232998120921e-05     4 
 5.331312872225174   0.001205887113821465 1.557501622807786e-05     4 
 5.332292802931329   0.001341061634655689 1.554206517708589e-05     4 
 5.333272733637485   0.001634763396256606  1.63303730092039e-05     4 
  5.33425266434364   0.001975964348659783 1.677343902621776e-05     4 
